Orden de gobierno,Clave Ramo,Descripción Ramo,Tipo de Institución,Clave Institución,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Código del expediente,Referencia del expediente,Título del expediente,Partida específica,Ley,Tipo Procedimiento,Artículo de excepción,Descripción excepción,Contrato marco,Compra consolidada,Núm. Proc. Consolidación,Nombre Proc. Consolidación,Tipo Proc. Consolidación,Art. EXC. Proc. Consolidación,Número de procedimiento,Tipo de contratación,Carácter del procedimiento,Forma de participación,La contratación es por Caso fortuito o fuerza mayor,Crédito externo,Organismo financiero,Clave del programa federal,Clave de cartera SHCP,Fecha de publicación,Fecha de apertura,Fecha de fallo,Código del contrato,Núm. del contrato,Título del contrato,Descripción del contrato,Contrato plurianual,Estatus DRC,Fecha de inicio del contrato,Fecha de fin del contrato,Fecha de firma del contrato,Importe DRC,Moneda,Convenio modificatorio,Código Ref. Contrato,Estatus Contrato,Fecha firma contrato,Tipo de contrato,Monto sin imp./mínimo,Monto mínimo con imp.,Monto sin imp./máximo,Monto máximo con imp.,Moneda.1,Convenio modificatorio.1,Código Ref. último convenio,Fecha fin último conv,Monto sin imp./mínimo último conv,Monto mínimo con imp. último conv,Monto sin imp./máximo último conv,Monto máximo con imp. último conv,Fecha firma último conv,rfc,Proveedor o contratista,Folio en el RUPC,País de la empresa,Nacionalidad proveedor o contratista,Proveedor/contratista con auto registro en CompraNet,Estratificación,origen,Dirección del anuncio,Monto_MDP,Fecha_Firma
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000875,RECURSOS MATERIALES,E-2025-00055443,BIE-DS-RM-AD-PS-003-04-2025,"ARRENDAMIENTO DE MOBILIARIO COMO SILLAS DE PLASTICO, MESAS, MANTELES Y CARPAS",32302,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 55 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-411-020000875-N-12-2025,ARRENDAMIENTOS,NACIONAL,,NO,NO,,,,2025-08-15 18:14:07,,2025-04-01 00:00:00,C-2025-00085416,BIE-DS-RM-AD-PS-003-04-2025,"ARRENDAMIENTO DE MOBILIARIO COMO SILLAS DE PLASTICO, MESAS, MANTELES Y CARPAS","ARRENDAMIENTO DE MOBILIARIO COMO SILLAS DE PLASTICO, MESAS, MANTELES Y CARPAS",NO,PUBLICADO,01/04/2025,31/12/2025,,297000.0,MXN,,,,,,,,,,,,,,,,,,,AAAN740825HS8,NORBERTO ARAMBURO ARROYOS,,MX,Mexicana,NO,NO ASIGNADO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/08308daec4b1464caaa58ec454ebdda0/procedimiento,,
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000999,DIRECCION GENERAL DE RECURSOS MATERIALES,E-2025-00011025,411.115.43101.004/2025,ADQUISICIÓN DE LITERAS INDIVIDUALES PARA LA OPERATIVIDAD DE LOS CENTROS INTEGRAD,43101,LAASSP,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,IA-20-411-020000999-N-3-2025,ADQUISICIONES,NACIONAL,ELECTRÓNICA,NO,NO,,,,2025-02-08 03:02:17,2025-02-14 23:30:00,2025-02-17 23:30:00,C-2025-00011549,411.115.43101.002/2025,ADQUISICIÓN DE LITERAS INDIVIDUALES PARA LA OPERATIVIDAD DE LOS CENTROS INTEGRAD,"ADQUISICIÓN DE LITERAS INDIVIDUALES PARA LA OPERATIVIDAD DE LOS CENTROS INTEGRADORES PARA EL MIGRANTE, DENTRO DEL MARCO DEL PROGRAMA PARA EL BIENESTAR DE LAS PERSONAS EN EMERGENCIA SOCIAL O NATURAL DE LA SECRETARÍA DE BIENESTAR",NO,PUBLICADO,18/02/2025,31/12/2025,2025-02-24 00:00:00,3600.0,MXN,NO,2025-A-I-NAC-A-A-20-411-00010238,FORMALIZADO,2025-02-24 00:00:00,Abierto,2895600.0,3358896.0,7239000.0,8397240.0,MXN,NO,,,,,,,,AAGM770521HY5,MANUEL ALEJANDRO ALVAREZ GONZALEZ,,MX,MEXICANA,NO,MICRO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/2a8f2e40c77a42ccab8fd7aaeb87c970/procedimiento,8.39724,2025-02-24 00:00:00
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00012348,126/01/2025,"ARRENDAMIENTO DE VEHÍCULOS TERRESTRES, AÉREOS, MARÍTIMOS, LACUSTRES Y FLUVIALES",32502,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-1-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-02-14 14:41:38,,2025-02-13 00:00:00,C-2025-00010650,126/01/2025,"ARRENDAMIENTO DE VEHÍCULOS TERRESTRES, AÉREOS, MARÍTIMOS, LACUSTRES Y FLUVIALES","ARRENDAMIENTO DE VEHÍCULOS TERRESTRES, AÉREOS, MARÍTIMOS, LACUSTRES Y FLUVIALES",NO,PUBLICADO,14/02/2025,28/02/2025,2025-02-28 09:29:59,284000.0,MXN,NO,2025-A-A-NAC-A-C-20-126-00008565,FORMALIZADO,2025-02-28 09:29:59,Cerrado,284000.0,,329440.0,,MXN,NO,,,284000.0,,,,,AAHH820612EE0,HORACIO ANAYA HEREDIA,539008,MX,MEXICANA,NO,MICRO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/8313a2d9671547af8472224d9124ecd2/procedimiento,,2025-02-28 09:29:59
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00022041,126/09/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TE,32502,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-10-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-03-12 20:31:05,,2025-03-11 00:00:00,C-2025-00022094,126/09/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TE,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TERRESTRES PARA SERVICIOS PÚBLICOS Y LA OPERACIÓN DE LOS PROGRAMAS PÚBLICOS DE LA DELEGACIÓN DE PROGRAMAS PARA EL DESARROLLO EN EL ESTADO DE COLIMA DE LA SECRETARIA DE BIENESTAR,NO,PUBLICADO,12/03/2025,20/03/2025,2025-03-18 17:30:21,175310.34,MXN,NO,2025-A-A-NAC-A-C-20-126-00017371,FORMALIZADO,2025-03-18 17:30:21,Cerrado,175310.34,,203360.0,,MXN,NO,,,175310.34,,,,,AAHH820612EE0,HORACIO ANAYA HEREDIA,539008,MX,MEXICANA,NO,MICRO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/5479819e26084a1ab5c1a509d8e04457/procedimiento,,2025-03-18 17:30:21
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00018029,126/16/2025,CONTRATO CERRADO PARA EL SERVICIO DE VIGILANCIA EN LOS INMUEBLES DE LA DELE,33801,LAASSP,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,IA-20-126-020000023-N-9-2025,SERVICIOS,NACIONAL,ELECTRÓNICA,NO,NO,,,,2025-03-19 20:24:27,2025-03-25 16:00:00,2025-03-27 21:00:00,C-2025-00029204,126/16/2025,CONTRATO CERRADO PARA EL SERVICIO DE VIGILANCIA EN LOS INMUEBLES DE LA DELE,CONTRATO CERRADO PARA EL SERVICIO DE VIGILANCIA EN LOS INMUEBLES DE LA DELEGACIÓN DE PROGRAMAS,NO,PUBLICADO,31/03/2025,31/12/2025,2025-04-01 18:37:44,585000.0,MXN,NO,2025-A-I-NAC-A-C-20-126-00022993,FORMALIZADO,2025-04-01 18:37:44,Cerrado,585000.0,,678600.0,,MXN,NO,,,585000.0,,,,,AAHH820612EE0,HORACIO ANAYA HEREDIA,539008,MX,MEXICANA,NO,MICRO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/fdc6a9e39de54d2eac86680b95b88fe2/procedimiento,,2025-04-01 18:37:44
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00092917,126/36/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TE,32502,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 55 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-36-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-10-09 18:29:25,,2025-10-09 00:00:00,C-2025-00107758,126/36/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TE,"EL PROVEEDOR ACEPTA Y SE OBLIGA A PROPORCIONAR A LA DEPENDENCIA LA PRESTACIÓN DEL SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TERRESTRES PARA SERVICIOS PÚBLICOS Y LA OPERACIÓN DE LOS PROGRAMAS PÚBLICOS DE LA DELEGACIÓN DE PROGRAMAS PARA EL DESARROLLO EN EL ESTADO DE COLIMA DE LA SECRETARIA 

DE BIENESTAR, EN LOS TÉRMINOS Y CONDICIONES ESTABLECIDOS EN ESTE CONTRATO Y SUS ANEXOS 
1 Y 2 QUE FORMAN PARTE INTEGRANTE DEL MISMO.",NO,PUBLICADO,10/10/2025,10/11/2025,2025-10-10 16:08:34,297000.0,MXN,NO,2025-A-A-NAC-A-C-20-126-00089230,FORMALIZADO,2025-10-10 16:08:34,Cerrado,297000.0,,344520.0,,MXN,NO,,,297000.0,,,,,AAHH820612EE0,HORACIO ANAYA HEREDIA,539008,MX,MEXICANA,NO,MICRO,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/400f5f5539d345e68f1bf3d88c399889/procedimiento,,2025-10-10 16:08:34
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00022208,126/13/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,32302,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-14-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-03-12 23:07:56,,2025-03-11 00:00:00,C-2025-00022256,126/13/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,NO,PUBLICADO,12/03/2025,20/03/2025,2025-03-27 10:56:27,86206.9,MXN,NO,2025-A-A-NAC-A-C-20-126-00021305,FORMALIZADO,2025-03-27 10:56:27,Cerrado,86206.9,,100000.0,,MXN,NO,,,86206.9,,,,,AAMR6711309M9,REYNALDA AVALOS MARTINEZ,,MX,MEXICANA,NO,PEQUEÑA,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/da7e53411f664b4e868aa06d0c53bd93/procedimiento,,2025-03-27 10:56:27
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00055408,126/25/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,32302,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 55 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-24-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-06-23 19:11:32,,2025-06-20 00:00:00,C-2025-00062372,126/25/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,EL PROVEEDOR ACEPTA Y SE OBLIGA A PROPORCIONAR A LA DEPENDENCIA LA PRESTACIÓN DEL SERVICIO DE ARRENDAMIENTO DE MOBILIARIO DERIVADO DE LA OPERACIÓN Y ADMINISTRACIÓN DE LOS PROGRAMAS SOCIALES QUE OPERA LA DELEGACIÓN DE PROGRAMAS PARA EL DESARROLLO DE LA SECRETARÍA DE BIENESTAR EN EL ESTADO DE COLIMA,NO,PUBLICADO,23/06/2025,23/07/2025,2025-06-30 17:22:34,64655.17,MXN,NO,2025-A-A-NAC-A-C-20-126-00052967,FORMALIZADO,2025-06-30 17:22:34,Cerrado,64655.17,,75000.0,,MXN,NO,,,64655.17,,,,,AAMR6711309M9,REYNALDA AVALOS MARTINEZ,,MX,MEXICANA,NO,PEQUEÑA,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/3c2e581343084db78f67de370c7d03b4/procedimiento,,2025-06-30 17:22:34
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000023,DELEGACION DE PROGRAMAS PARA EL DESARROLLO COLIMA,E-2025-00066264,126/34/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,32302,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 55 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-126-020000023-N-34-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-07-29 20:12:42,,2025-07-25 00:00:00,C-2025-00075790,126/34/2025,CONTRATO CERRADO PARA LA PRESTACIÓN DE SERVICIOS DE ARRENDAMIENTO DE MOBILIARIO,EL PROVEEDOR ACEPTA Y SE OBLIGA A PROPORCIONAR A LA DEPENDENCIA LA PRESTACIÓN DEL SERVICIO DE ARRENDAMIENTO DE MOBILIARIO DERIVADO DE LA OPERACIÓN Y ADMINISTRACIÓN DE LOS PROGRAMAS SOCIALES QUE COORDINA LA DELEGACIÓN DE PROGRAMAS PARA EL DESARROLLO EN EL ESTADO DE COLIMA DEPENDIENTE DE LA SECRETARÍA DE BIENESTAR,NO,PUBLICADO,28/07/2025,28/08/2025,2025-08-01 13:23:39,64655.17,MXN,NO,2025-A-A-NAC-A-C-20-126-00064899,FORMALIZADO,2025-08-01 13:23:39,Cerrado,64655.17,,75000.0,,MXN,NO,,,64655.17,,,,,AAMR6711309M9,REYNALDA AVALOS MARTINEZ,,MX,MEXICANA,NO,PEQUEÑA,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/7c292bacf7b54c71bbd69fc8636f0a94/procedimiento,,2025-08-01 13:23:39
APF,20,BIENESTAR,APF,020000,BIENESTAR,SECRETARIA DE BIENESTAR,020000992,"DELEGACION YUCATAN, SUBDELEGACION DE ADMINISTRACION",E-2025-00012211,SB/DY/CIEM/002.2025,IMPRESIÓN DE MATERIAL DE APOYO INFORMATIVO CIEM02-25,33604,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-20-151-020000992-N-1-2025,SERVICIOS,NACIONAL,,NO,NO,,,,2025-02-21 16:34:40,,2025-01-23 00:00:00,C-2025-00013276,SB/DY/CIEM/002.2025,IMPRESIÓN DE MATERIAL DE APOYO INFORMATIVO CIEM02-25,IMPRESION DE MATERIAL DE APOYO E INFORMATIVO,NO,PUBLICADO,23/01/2025,24/01/2025,,42951.0,MXN,,,,,,,,,,,,,,,,,,,AAQM831225U58,MARIANA DE JESUS ADACHE QUINTAL,,MX,MEXICANA,NO,PEQUEÑA,Compras MX,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/e4e53a0059984df3b0bb61bdc1b5ce10/procedimiento,,
